Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,Test R2
Random Forest,0.1924929258473458,0.4179220672065091,0.3206862927325107,0.6800010211689524,0.9815594525803041,0.9157191875871464
Decision Tree,0.6248540948243739,0.6882045141789321,0.828339599444194,0.9383351731634335,0.8769646631976159,0.8395182780977368
Linear Regression,0.8788455831940121,0.8658520893909243,1.1496074938487566,1.1371746683702864,0.763019731385031,0.7642976366713854
